token	tag	lemma
GZS	mte:Npmsn	GZS
Dosegamo	mte:Vmpr1p	dosegati
dno	mte:Ncnsa	dan
,	mte:Z	,
prihaja	mte:Vmpr3s	prihajati
veriga	mte:Ncfsn	verig
stečajev	mte:Ncmpg	stečaj
Gradbinci	mte:Npmpn	Gradbinec
od	mte:Sg	od
vlade	mte:Ncfsg	vlada
zahtevajo	mte:Vmbr3p	zahtevati
investicije	mte:Ncfpa	investicija
za	mte:Sa	za
oživitev	mte:Ncfsa	oživitev
trga	mte:Ncmsg	trg
,	mte:Z	,
sicer	mte:Q	sicer
sledi	mte:Vmpr3s	slediti
veriga	mte:Ncfsn	verig
stečajev	mte:Ncmpg	stečaj
.	mte:Z	.
Še	mte:Q	še
posebej	mte:Rgp	posebej
je	mte:Va-r3s-n	biti
težak	mte:Agpmsnn	težek
položaj	mte:Ncmsn	položaj
podizvajalcev	mte:Ncmpg	podizvajalec
,	mte:Z	,
v	mte:Sl	v
prihodnjih	mte:Agpmpl	prihodnji
mesecih	mte:Ncmpl	mesec
naj	mte:Q	naj
bi	mte:Va-c	biti
jih	mte:Pp3mpa--y	on
propadlo	mte:Vmep-sn	propasti
več	mte:Rgc	več
kot	mte:Cs	kot
sto	mte:Mlc-pa	sto
.	mte:Z	.
Ne	mte:Q	ne
dvomimo	mte:Vmpr1p	dvomiti
,	mte:Z	,
da	mte:Cs	da
bo	mte:Va-f3s-n	biti
letos	mte:Rgp	letos
prišlo	mte:Vmep-sn	priti
dno	mte:Ncnsa	dan
dna	mte:Ncnsg	dno
,	mte:Z	,
ker	mte:Cs	ker
se	mte:Px------y	se
je	mte:Va-r3s-n	biti
gradbeništvo	mte:Ncnsn	gradbeništvo
leta	mte:Ncnsg	leto
2009	mte:Mdc	2009
izčrpalo	mte:Vmep-sn	izčrpati
in	mte:Cc	in
pravih	mte:Agpmpg	pravi
ukrepov	mte:Ncmpg	ukrep
ni	mte:Va-r3s-y	biti
bilo	mte:Va-p-sn	biti
,	mte:Z	,
je	mte:Va-r3s-n	biti
povedal	mte:Vmep-sm	povedati
generalni	mte:Agpmsny	generalen
direktor	mte:Ncmsn	direktor
Gospodarske	mte:Agpfsg	gospodarski
zbornice	mte:Ncfsg	zbornica
Slovenije	mte:Npfsg	Slovenija
Samo	mte:Q	samo
Hribar	mte:Npmsn	Hribar
Milič	mte:Npmsn	Milič
na	mte:Sl	na
tiskovni	mte:Agpfsl	tiskoven
konferenci	mte:Ncfsl	konferenca
,	mte:Z	,
na	mte:Sl	na
kateri	mte:Pq-fsl	kateri
so	mte:Va-r3p-n	biti
sodelovali	mte:Vmpp-pm	sodelovati
predstavniki	mte:Ncmpn	predstavnik
Gospodarske	mte:Agpfsg	gospodarski
in	mte:Cc	in
obrtne	mte:Agpfsg	obrten
zbornice	mte:Ncfsg	zbornica
ter	mte:Cc	ter
Sindikata	mte:Ncmsg	sindikat
delavcev	mte:Ncmpg	delavec
gradbenih	mte:Agpfpg	gradben
dejavnosti	mte:Ncfpg	dejavnost
.	mte:Z	.
Vlado	mte:Ncfsa	vlada
pozivajo	mte:Vmpr3p	pozivati
,	mte:Z	,
naj	mte:Cs	naj
nemudoma	mte:Rgp	nemudoma
pristopi	mte:Vmpr3p	pristop
k	mte:Sd	k
oživitvi	mte:Ncfsd	oživitev
trga	mte:Ncmsg	trg
gradbeništva	mte:Ncnsg	gradbeništvo
s	mte:Si	z
pospešitvijo	mte:Ncfsi	pospešitev
investicij	mte:Ncfpg	investicija
za	mte:Sa	za
pomembne	mte:Agpmpa	pomemben
infrastrukturne	mte:Agpmpa	infrastrukturen
projekte	mte:Ncmpa	projekt
.	mte:Z	.
Pri	mte:Sl	pri
tem	mte:Pd-nsl	ta
so	mte:Va-r3p-n	biti
izpostavili	mte:Vmep-pm	izpostaviti
predvsem	mte:Q	predvsem
podizvajalce	mte:Ncmpa	podizvajalec
,	mte:Z	,
ki	mte:Cs	ki
so	mte:Va-r3p-n	biti
po	mte:Sl	po
stečaju	mte:Ncmsl	stečaj
